Preferred Publisher Name,journal,issn,e-issn,DOI pattern,Note
Nature Publishing Group,Nature Biotechnology,,1087-0156,https://doi.org/10.1038/d43747-024-00014-w,
Nature Publishing Group,Nature Cancer,,2662-1347,https://doi.org/10.1038/s43018-024-00730-3,
Nature Publishing Group,Nature Cardiovascular Research,,2731-0590,https://doi.org/10.1038/s44161-023-00336-5,
Nature Publishing Group,Nature Catalysis,,2520-1158,https://doi.org/10.1038/s41929-023-00992-7,
Nature Publishing Group,Nature Cell Biology,1465-7392,1476-4679,https://doi.org/10.1038/s41556-023-01328-0,
Nature Publishing Group,Nature Chemical Biology,1552-4450,1552-4469,https://doi.org/10.1038/s41589-023-01432-0,
Nature Publishing Group,Nature Chemical Engineering,,2948-1198,https://doi.org/10.1038/s44286-023-00006-0,
Nature Publishing Group,Nature Chemistry,1755-4330,1755-4349,https://doi.org/10.1038/s41557-023-01356-1,
Nature Publishing Group,Nature Cities,,2731-9997,https://doi.org/10.1038/s44284-024-00040-w,
Nature Publishing Group,Nature Climate Change,1758-678X,1758-6798,https://doi.org/10.1038/s41558-023-01904-0,
Nature Publishing Group,Nature Communications,,2041-1723,https://doi.org/10.1038/s41467-023-40408-5,
Nature Publishing Group,Nature Computational Science,,2662-8457,https://doi.org/10.1038/s43588-024-00593-9,
Nature Publishing Group,Nature Ecology & Evolution,,2397-334X,https://doi.org/10.1038/s41559-024-02367-y,
Nature Publishing Group,Nature Electronics,,2520-1131,https://doi.org/10.1038/s41928-024-01126-y,
Nature Publishing Group,Nature Energy,,2058-7546,https://doi.org/10.1038/s41560-023-01434-1,
Nature Publishing Group,Nature Food,,2662-1355,https://doi.org/10.1038/s43016-024-00946-7,
Nature Publishing Group,Nature Genetics,1061-4036,1546-1718,https://doi.org/10.1038/s41588-024-01654-5,
Nature Publishing Group,Nature Geoscience,1752-0894,1752-0908,https://doi.org/10.1038/s41561-024-01404-6,
Nature Publishing Group,Nature Human Behaviour,,2397-3374,https://doi.org/10.1038/s41562-024-01849-0,
Nature Publishing Group,Nature Immunoogy,1529-2908,1529-2916,https://doi.org/10.1038/s41590-024-01788-y,
Nature Publishing Group,Nature Machine Intelligence,,2522-5839,https://doi.org/10.1038/s42256-024-00802-0,
Nature Publishing Group,Nature Materials,1476-1122,1476-4660,https://doi.org/10.1038/s41563-024-01840-0,
Nature Publishing Group,Nature Medicine,1078-8956,1546-170X,https://doi.org/10.1038/s41591-024-02896-w,
Nature Publishing Group,Nature Mental Health,,2731-6076,https://doi.org/10.1038/s44220-023-00081-5,
Nature Publishing Group,Nature Metabolism,,2522-5812,https://doi.org/10.1038/s42255-024-01018-7,
Nature Publishing Group,Nature Methods,1548-7091,1548-7105,https://doi.org/10.1038/s41592-024-02235-4,
Nature Publishing Group,Nature Microbiology,,2058-5276,https://doi.org/10.1038/s41564-024-01641-w,
Nature Publishing Group,Nature Nanotechnology,1748-3387,1748-3395,https://doi.org/10.1038/s41565-024-01629-x,
Nature Publishing Group,Nature Neuroscience,1097-6256,1546-1726,https://doi.org/10.1038/s41593-024-01596-5,
Nature Publishing Group,Nature Photonics,1749-4885,1749-4893,https://doi.org/10.1038/s41566-024-01390-6,
Nature Publishing Group,Nature Physics,1745-2473,1745-2481,https://doi.org/10.1038/s41567-024-02435-x,
Nature Publishing Group,Nature Plants,,2055-0278,https://doi.org/10.1038/s41477-024-01655-6,
Nature Publishing Group,Nature Protocols,1754-2189,1750-2799,https://doi.org/10.1038/s41596-024-00966-4,
Nature Publishing Group,Nature Reviews Biodiversity,,3005-0677,,launching in 2025
Nature Publishing Group,Nature Reviews Bioengineering,,2731-6092,https://doi.org/10.1038/s44222-024-00156-7,
Nature Publishing Group,Nature Reviews Cancer,1474-175X,1474-1768,https://doi.org/10.1038/s41568-024-00669-8,
Nature Publishing Group,Nature Reviews Cardiology,1759-5002,1759-5010 ,https://doi.org/10.1038/s41569-024-01001-5,
Nature Publishing Group,Nature Reviews Chemistry,,2397-3358,https://doi.org/10.1038/s41570-024-00584-4,
Nature Publishing Group,Nature Reviews Clean Technology,,3005-0685,,launching in 2025
Nature Publishing Group,Nature Reviews Clinical Oncology,1759-4774,1759-4782,https://doi.org/10.1038/s41571-023-00852-0,
Nature Publishing Group,Nature Reviews Disease Primers,,2056-676X,https://doi.org/10.1038/s41572-023-00466-x,
Nature Publishing Group,Nature Reviews Drug Discovery,1474-1776,1474-1784,https://doi.org/10.1038/s41573-023-00859-3,
Nature Publishing Group,Nature Reviews Earth & Environment,,2662-138X,https://doi.org/10.1038/s43017-023-00511-z,
Nature Publishing Group,Nature Reviews Electrical Engineering,,2948-1201,https://doi.org/10.1038/s44287-024-00029-6,
Nature Publishing Group,Nature Reviews Endocrinology,1759-5029,1759-5037,https://doi.org/10.1038/s41574-024-00966-0,
Nature Publishing Group,Nature Reviews Gastroenterology & Hepatology,1759-5045,1759-5053,https://doi.org/10.1038/s41575-024-00907-2,
Nature Publishing Group,Nature Reviews Genetics,1471-0056,1471-0064,https://doi.org/10.1038/s41576-024-00696-z,
Nature Publishing Group,Nature Reviews Immunology,1474-1733,1474-1741,https://doi.org/10.1038/s41577-024-00995-w,
Nature Publishing Group,Nature Reviews Materials,,2058-8437,https://doi.org/10.1038/s41578-024-00654-5,
Nature Publishing Group,Nature Reviews Methods Primers,,2662-8449,https://doi.org/10.1038/s43586-024-00297-4,
Nature Publishing Group,Nature Reviews Microbiology,1740-1526,1740-1534,https://doi.org/10.1038/s41579-024-01018-0,
Nature Publishing Group,Nature Reviews Molecular Cell Biology,1471-0072,1471-0080,https://doi.org/10.1038/s41580-024-00715-1,
Nature Publishing Group,Nature Reviews Nephrology,1759-5061,1759-507X,https://doi.org/10.1038/s41581-024-00823-3,
Nature Publishing Group,Nature Reviews Neurology,1759-4758,1759-4766,https://doi.org/10.1038/s41582-024-00942-2,
Nature Publishing Group,Nature Reviews Neuroscience,1471-003X,1471-0048,https://doi.org/10.1038/s41583-024-00796-z,
Nature Publishing Group,Nature Reviews Physics,,2522-5820,https://doi.org/10.1038/s42254-024-00703-6,
Nature Publishing Group,Nature Reviews Psychology,,2731-0574,https://doi.org/10.1038/s44159-024-00294-0,
Nature Publishing Group,Nature Reviews Rheumatology,1759-4790,1759-4804,https://doi.org/10.1038/s41584-024-01092-x,
Nature Publishing Group,Nature Reviews Urology,1759-4812,1759-4820 ,https://doi.org/10.1038/s41585-024-00866-y,
Nature Publishing Group,Nature Structural & Molecular Biology,1545-9993,1545-9985,https://doi.org/10.1038/s41594-024-01226-5,
Nature Publishing Group,Nature Sustainability,,2398-9629,https://doi.org/10.1038/s41893-024-01296-9,
Nature Publishing Group,Nature Synthesis,,2731-0582,https://doi.org/10.1038/s44160-024-00499-4,
Nature Publishing Group,Nature Water,,2731-6084,https://doi.org/10.1038/s44221-024-00218-5,
Nature Publishing Group,Neuropsyhopharmacology,,0893-133X,https://doi.org/10.1038/s41386-024-01853-y,
Nature Publishing Group,NPG Asia Materials,1884-4049,1884-4057,https://doi.org/10.1038/s41427-024-00538-8,
Nature Publishing Group,npj 2D Materials and Applications,,2397-7132,https://doi.org/10.1038/s41699-024-00458-9,
Nature Publishing Group,npj Advanced Manuscfacturing,,3004-8621,,new in 2024
Nature Publishing Group,npj Aging,,2731-6068,https://doi.org/10.1038/s41514-024-00138-4,
Nature Publishing Group,npj Antimicrobials and Resistance,,2731-8745,https://doi.org/10.1038/s44259-023-00019-y,
Nature Publishing Group,npj Biodiversity,,2731-4243,https://doi.org/10.1038/s44185-024-00037-7,
Nature Publishing Group,npj Biofilms and Microbiomes,,2055-5008,https://doi.org/10.1038/s41522-024-00489-6,
Nature Publishing Group,npj Biological Physics and Mechanics,,3004-863X,,new in 2024
Nature Publishing Group,npj Biological TIming and Sleep,,2948-281X,,new in 2024
Nature Publishing Group,npj Biosensing,,3004-8656,,new in 2024
Nature Publishing Group,npj Breast Cancer,,2374-4677,,new in 2024
Nature Publishing Group,npj Cardiovascular Health,,2948-2836,https://doi.org/10.1038/s44325-023-00001-7,
Nature Publishing Group,npj Clean Water,,2059-7037,https://doi.org/10.1038/s41545-022-00163-4,
Nature Publishing Group,npj Climate Action,,2731-9814,https://doi.org/10.1038/s44168-023-00097-8,
Nature Publishing Group,npj Climate and Atmospheric Science,,2397-3722,,
Nature Publishing Group,npj Complexity,,2731-8753,,new in 2024
Nature Publishing Group,npj Computational Materials,,2057-3960,https://doi.org/10.1038/s41524-022-00787-7,
Nature Publishing Group,npj Digital Medicine,,2398-6352,https://doi.org/10.1038/s41746-024-01016-9,
Nature Publishing Group,npj Fleible Electronics,,2397-4621,https://doi.org/10.1038/s41528-023-00275-y,
Nature Publishing Group,npj Genomic Medicine,,2056-7944,"https://doi.org/10.1038/s41525-024-00404-0
",
Nature Publishing Group,npj Gut and Liver,,3004-9806,,new in 2024
Nature Publishing Group,npj Imaging,,2948-197X,https://doi.org/10.1038/s44303-023-00003-1,
Nature Publishing Group,npj Materials Degradation,,2397-2106,"https://doi.org/10.1038/s41529-017-0008-z
",
Nature Publishing Group,npj Materials Sustainability,,2948-1775,https://doi.org/10.1038/s44296-023-00003-7,
Nature Publishing Group,npj Mental Health Research,,2731-4251,https://doi.org/10.1038/s44184-023-00047-6,
Nature Publishing Group,npj Metabolic Health and Disease,,2948-2828,https://doi.org/10.1038/s44324-024-00004-7,
Nature Publishing Group,npj Microgravity,,2373-8065,https://doi.org/10.1038/s41526-021-00143-x,
Nature Publishing Group,npj Nanophotonics,,2948-216X,"https://doi.org/10.1038/s44310-024-00002-z
",
Nature Publishing Group,npj Natural Hazards,,2948-2100,https://doi.org/10.1038/s44304-024-00003-0,
Nature Publishing Group,npj Ocean Sustainability,,2731-426X,https://doi.org/10.1038/s44183-023-00026-6,
Nature Publishing Group,npj Parkinson's Disease,,2373-8057,"https://doi.org/10.1038/s41531-024-00673-7
",
Nature Publishing Group,npj Precision Oncology,,2397-768X,https://doi.org/10.1038/s41698-024-00565-2,
Nature Publishing Group,npj Primary Care Respiratory Medicine,,2055-1010,https://doi.org/10.1038/s41533-023-00354-7,
Nature Publishing Group,npj Quantum Information,,2056-6387,"https://doi.org/10.1038/s41534-024-00823-y
",
Nature Publishing Group,npj Quantum Materials,,2397-4648,https://doi.org/10.1038/s41535-024-00637-3,
Nature Publishing Group,npj Regenerative Medicine,,2057-3995,https://doi.org/10.1038/s41536-023-00296-1,
Nature Publishing Group,npj Robotics,,2731-4278,https://doi.org/10.1038/s44182-023-00006-5,
Nature Publishing Group,npj Science of Food,,2396-8370,https://doi.org/10.1038/s41538-024-00251-4,
Nature Publishing Group,npj  Science of Learning,,2056-7936,https://doi.org/10.1038/s41539-024-00238-6,
Nature Publishing Group,npj Spintronics,,2948-2119,https://doi.org/10.1038/s44306-023-00006-z,
Nature Publishing Group,npj Sustainable Agriculture,,2731-9202,https://doi.org/10.1038/s44264-023-00009-7,
Nature Publishing Group,npj Sustainable Mobility and Transport,,3004-8664,,new in 2024
Nature Publishing Group,npj Systems Biology and Applications,,2056-7189,https://doi.org/10.1038/s41540-024-00355-3,
Nature Publishing Group,npj Unconventional Computing,,3004-8672,,new in 2024
Nature Publishing Group,npj Urban Sustainability,,2661-8001,https://doi.org/10.1038/s42949-024-00151-2,
Nature Publishing Group,npj Vaccines,,2059-0105,https://doi.org/10.1038/s41541-024-00811-5,
Nature Publishing Group,npj Viruses,,2948-1767,https://doi.org/10.1038/s44298-023-00013-1,
Nature Publishing Group,nph Women's Health,,2948-1716,"https://doi.org/10.1038/s44294-024-00007-1
",
Nature Publishing Group,NPP -- Digital Psychiatry and Neuroscience,,2948-1570,https://doi.org/10.1038/s44277-024-00002-z,
Nature Publishing Group,Nutrition & Diabetes,,2044-4052,https://doi.org/10.1038/s41387-024-00261-x,
American Astronomical Society,Astrophysical Journal Letters,2041-8205,2041-8213,,omit initial The from journal title
American Astronomical Society,Astronomical Journal,0004-6256,1538-3881,,omit initial The from journal title
American Astronomical Society,Astrophysical Journal,0004-637X,1538-4357,,omit initial The from journal title
American Astronomical Society,Astrophysical Journal Supplement Series,1538-4365,0067-0049,,omit initial The from journal title
American Astronomical Society,Planetary Science Journal,,2632-3338,,omit initial The from journal title
American Astronomical Society,Research Notes of the AAS,,2515-5172,,omit initial The from journal title
American Chemical Society,Journal of Organic Chemistry,,,,omit initial The from journal title
American Chemical Society,Journal of Physical Chemistry,,,,omit initial The from journal title
American Chemical Society,Journal of Physical Chemistry A,,,,omit initial The from journal title
American Chemical Society,Journal of Physical Chemistry B,,,,omit initial The from journal title
American Chemical Society,Journal of Physical Chemistry C,,,,omit initial The from journal title
American Chemical Society,Journal of Physical Chemistry Letters,,,,omit initial The from journal title
American Associaition for the Advancement of Science,Science,,,,
American Associaition for the Advancement of Science,Science Advances,,,,
American Associaition for the Advancement of Science,Science Immunology,,,,
American Associaition for the Advancement of Science,Science Robitics,,,,
American Associaition for the Advancement of Science,Science Signaling,,,,
American Associaition for the Advancement of Science,Science Translational Medicine,,,,
National Academy of Sciences,Proceedings of the National Academy of Sciences,,,,
National Academy of Sciences,PNAS Nexus,,,,
Seismological Society of America,Bulletin of the Seismological Society of America,0037-1106,0037-1107,,
Seismological Society of America,Seismological Research Letters,,,,
Royal Astronomical Society,Monthly Notice of the Royal Astronomial Society,0035-2966,1365-2966,,
Royal Astronomical Society,Monthly Notice of the Royal Astronomial Society Letters,1745-3925,1745-3933,,
Royal Astronomical Society,Geophysical Journal International,0956-540X,1365-246X,,
Royal Astronomical Society,RAS Techniques and Instruments,,2752-8200,,
